iter	Passed	Remaining
0	146	146528
1	147	73599
2	148	49483
3	151	37637
4	151	30212
5	152	25254
6	153	21705
7	153	19051
8	154	17064
9	157	15570
10	158	14220
11	158	13077
12	159	12099
13	160	11268
14	160	10549
15	161	9940
16	163	9446
17	164	8972
18	165	8523
19	165	8117
20	166	7752
21	167	7428
22	168	7139
23	170	6924
24	171	6674
25	171	6437
26	172	6213
27	172	6005
28	173	5813
29	174	5643
30	175	5486
31	177	5357
32	178	5217
33	178	5077
34	179	4944
35	180	4820
36	180	4701
37	181	4593
38	182	4492
39	184	4438
40	185	4341
41	186	4250
42	187	4162
43	187	4077
44	188	4004
45	189	3933
46	191	3874
47	192	3812
48	193	3747
49	193	3685
50	195	3637
51	197	3593
52	200	3579
53	203	3568
54	204	3515
55	206	3480
56	207	3435
57	208	3386
58	209	3344
59	211	3309
60	213	3293
61	215	3262
62	216	3220
63	217	3181
64	221	3182
65	223	3167
66	226	3152
67	227	3117
68	228	3078
69	228	3040
70	229	3003
71	231	2980
72	233	2968
73	234	2938
74	235	2908
75	236	2877
76	237	2849
77	239	2834
78	242	2829
79	243	2802
80	244	2774
81	246	2757
82	247	2730
83	248	2706
84	248	2678
85	249	2650
86	250	2624
87	252	2611
88	254	2602
89	255	2581
90	255	2556
91	256	2533
92	258	2517
93	260	2513
94	267	2549
95	268	2533
96	269	2510
97	270	2488
98	271	2472
99	275	2476
100	276	2459
101	277	2440
102	278	2426
103	281	2424
104	284	2422
105	285	2406
106	286	2393
107	288	2385
108	289	2365
109	290	2346
110	290	2327
111	291	2311
112	292	2298
113	294	2290
114	295	2276
115	296	2262
116	297	2244
117	298	2228
118	299	2214
119	304	2229
120	306	2227
121	310	2237
122	311	2222
123	312	2209
124	316	2213
125	318	2206
126	320	2205
127	324	2211
128	329	2221
129	331	2220
130	332	2207
131	334	2202
132	344	2246
133	346	2242
134	351	2255
135	355	2260
136	357	2251
137	360	2249
138	361	2239
139	365	2242
140	366	2230
141	366	2215
142	371	2228
143	373	2217
144	373	2203
145	374	2192
146	378	2195
147	384	2216
148	386	2204
149	387	2194
150	388	2184
151	391	2184
152	392	2174
153	394	2164
154	395	2156
155	397	2150
156	398	2139
157	399	2126
158	399	2114
159	400	2102
160	400	2089
161	402	2083
162	404	2076
163	405	2065
164	405	2054
165	406	2042
166	407	2034
167	409	2026
168	411	2022
169	412	2011
170	412	2000
171	413	1990
172	414	1980
173	415	1971
174	417	1969
175	423	1981
176	427	1989
177	432	1996
178	433	1987
179	436	1989
180	437	1979
181	439	1974
182	440	1965
183	441	1956
184	442	1948
185	445	1949
186	447	1944
187	448	1936
188	449	1928
189	450	1919
190	450	1909
191	451	1899
192	451	1889
193	452	1881
